Word Trial.ID list wordNeighbour N zipf.wordNeighbour len.wordNeighbour bigram.zipf.wordNeighbour old20.wordNeighbour old1.wordNeighbour bigram.zipf.novelWord old20.novelWord old1.novelWord len.novelWord pos_deviation levDistToWordNeigh baseWord Blocco Subject Age Gender Handedness Session List Data OraStart TrialCount rt Resp Acc learning lexicality Index
derche NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 16 24 Male Right Morning A 2018-11-15 10:03:56 6 1092 1 1 un NA 1
antensa 11007 A antenna 1 3.425187354 7 7.02 1.95 1 7.01 1.9 1 7 final 1 yes 1 4 22 Male Right Morning A 2018-09-19 13:50:24 7 1856 1 0 un novelword 1
averuzzo 22031 B NA NA NA NA NA NA NA 6.7 3 3 8 NA NA no 1 3 25 Female Right Morning B 2018-09-19 09:54:40 7 840 2 1 un novelword 1
commegia 11014 A commedia 1 3.880232089 8 6.83 2.15 1 6.8 2.45 1 8 middle 1 yes 1 22 25 Male Right Morning A 2019-01-08 10:00:13 7 1062 2 1 un novelword 1
frutirca 12040 A NA NA NA NA NA NA NA 6.69 2.95 2 8 NA NA no 1 8 24 Female Right Morning A 2018-10-16 13:48:31 7 2001 -1 0 un novelword 2
scapippo 12045 A NA NA NA NA NA NA NA 6.65 2.75 2 8 NA NA no 1 26 27 Female Right Morning A 2019-01-21 10:01:44 7 671 2 1 un novelword 1
spriage 22047 B NA NA NA NA NA NA NA 6.84 2 2 7 NA NA no 1 17 24 Male Right Morning B 2018-11-15 14:10:31 7 1084 1 0 un novelword 1
ameneca NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 20 32 Female Right Morning A 2018-12-03 13:26:00 7 2001 -1 0 un NA 1
impotro NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 1 28 Male Right Morning B 2018-09-04 10:04:35 7 1835 1 1 un NA 1
invimmi NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 14 22 Female Right Morning A 2018-11-12 13:44:47 7 1807 2 0 un NA 1
iocaco NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 23 32 Female Right Morning B 2019-01-08 13:42:19 7 2001 -1 0 un NA 1
ravoglio NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 7 21 Male Right Morning B 2018-10-08 13:50:59 7 706 1 1 un NA 1
vedolle NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 11 25 Male Right Morning B 2018-11-02 13:41:00 7 1133 1 1 un NA 1
oratocci NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 27 20 Female Right Morning B 2019-01-21 13:43:02 7 2001 -1 0 un NA 1
iffunzi NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 16 24 Male Right Morning A 2018-11-15 10:03:56 7 1383 2 0 un NA 1
chiosto 21009 B chiosco 1 3.327643797 7 6.85 1.9 1 6.89 1.65 1 7 final 1 yes 1 17 24 Male Right Morning B 2018-11-15 14:10:31 8 1092 1 0 un novelword 1
frilmodo 12039 A NA NA NA NA NA NA NA 6.71 3 3 8 NA NA no 1 20 32 Female Right Morning A 2018-12-03 13:26:00 8 2001 -1 0 un novelword 1
menpola 21021 B mensola 1 3.085792887 7 6.85 1.95 1 6.74 1.9 1 7 middle 1 yes 1 27 20 Female Right Morning B 2019-01-21 13:43:02 8 2001 -1 0 un novelword 1
ospigio 21023 B ospizio 1 3.444987683 7 6.66 2.2 1 6.7 2.4 1 7 final 1 yes 1 23 32 Female Right Morning B 2019-01-08 13:42:19 8 994 2 1 un novelword 1
ospigio 21023 B ospizio 1 3.444987683 7 6.66 2.2 1 6.7 2.4 1 7 final 1 yes 1 11 25 Male Right Morning B 2018-11-02 13:41:00 8 994 2 1 un novelword 1
tulifano 21029 B tulipano 1 2.614169104 8 6.83 2.45 1 6.79 2.4 1 8 middle 1 yes 1 3 25 Female Right Morning B 2018-09-19 09:54:40 8 2001 -1 0 un novelword 2
chialco NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 8 24 Female Right Morning A 2018-10-16 13:48:31 8 1489 2 0 un NA 1
fatanvo NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 4 22 Male Right Morning A 2018-09-19 13:50:24 8 2001 -1 0 un NA 1
gioropo NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 22 25 Male Right Morning A 2019-01-08 10:00:13 8 2001 -1 0 un NA 1
licolo NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 26 27 Female Right Morning A 2019-01-21 10:01:44 8 638 1 1 un NA 1
romifulo NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 1 28 Male Right Morning B 2018-09-04 10:04:35 8 1495 2 0 un NA 1
semprin NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 7 21 Male Right Morning B 2018-10-08 13:50:59 8 1126 2 0 un NA 1
ugnade NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 16 24 Male Right Morning A 2018-11-15 10:03:56 8 1375 1 1 un NA 1
lemarso NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 14 22 Female Right Morning A 2018-11-12 13:44:47 8 1051 2 0 un NA 1
apostomo 11008 A apostolo 1 2.715968037 8 6.85 2 1 6.84 2.55 1 8 final 1 yes 1 22 25 Male Right Morning A 2019-01-08 10:00:13 9 1829 2 1 un novelword 1
